Date,Time,Latitude,Longitude,Vehicles,Condition,Driver Age,Driver Sex
2022-04-26,HOUR14,39.7149,-105.3913,1.0,Cloudy,39.0,M
2022-04-26,HOUR19,39.74418,-105.47874,2.0,Clear,25.0,M
2022-05-01,HOUR16,39.728,-105.17492,2.0,Cloudy,,
2022-05-01,HOUR19,39.742422,-104.736262,1.0,Wind,19.0,F
2022-05-02,HOUR5,39.73851,-104.42367,2.0,Rain,38.0,M
2022-05-03,HOUR8,39.73437,-105.1666,2.0,Clear,52.0,M
2022-05-04,HOUR7,39.74109,-105.68501,1.0,Snow,46.0,M
2022-05-06,HOUR9,39.74474,-105.48728,1.0,Clear,28.0,M
2022-05-09,HOUR19,39.70926,-105.2849,1.0,Clear,19.0,M
2022-05-11,HOUR21,39.73823,-104.48408,1.0,Clear,41.0,M
2022-05-13,HOUR3,39.749457,-104.748085,2.0,Clear,77.0,M
2022-05-13,HOUR12,39.71331,-105.31429,2.0,Clear,22.0,M
2022-05-13,HOUR15,39.72383,-105.18134,2.0,Clear,54.0,M
2022-05-14,HOUR21,39.73775,-105.43107,1.0,Clear,44.0,M
2022-05-15,HOUR16,39.72887,-105.17332,2.0,Clear,,
2022-05-15,HOUR21,39.74003,-104.72614,1.0,Clear,49.0,F
2022-05-17,HOUR10,39.71233,-105.36403,1.0,Clear,73.0,M
2022-05-17,HOUR17,39.73672,-104.39928,2.0,Clear,35.0,M
2022-05-18,HOUR17,39.7316,-105.16994,2.0,Clear,55.0,M
2022-05-19,HOUR8,39.74496,-105.46946,1.0,Clear,24.0,M
2022-05-20,HOUR4,39.74006,-104.69326,3.0,Rain,,
2022-05-20,HOUR10,39.73463,-105.42859,2.0,Snow,25.0,M
2022-05-20,HOUR12,39.7385,-104.43375,2.0,Rain,60.0,M
2022-05-20,HOUR14,39.733881,-104.348119,2.0,Rain,66.0,M
2022-05-21,HOUR0,39.7397722,-104.5846111,1.0,Snow,23.0,M
2022-05-22,HOUR1,39.709437,-105.196149,1.0,Clear,31.0,F
2022-05-22,HOUR3,39.74101,-105.51585,1.0,Clear,38.0,M
2022-05-22,HOUR13,39.73759,-104.43337,2.0,Clear,39.0,F
2022-05-22,HOUR16,39.73467,-104.38779,1.0,Clear,36.0,M
2022-05-23,HOUR17,39.7386,-104.52529,2.0,Clear,,U
2022-05-24,HOUR18,39.74512,-105.44045,2.0,Snow,21.0,M
2022-05-25,HOUR18,39.7438,-105.44347,1.0,Clear,24.0,M
2022-05-26,HOUR12,39.7402,-104.71837,3.0,Clear,27.0,M
2022-05-27,HOUR11,39.73041,-105.42618,2.0,Clear,29.0,M
2022-05-27,HOUR17,39.71544,-105.38368,1.0,Clear,28.0,M
2022-05-27,HOUR18,39.71146,-105.30045,1.0,Cloudy,,
2022-05-28,HOUR2,39.71823,-105.69629,1.0,Clear,20.0,M
2022-05-28,HOUR14,39.73909,-104.64625,2.0,Clear,,
2022-05-31,HOUR11,39.74449,-105.44148,2.0,Cloudy,34.0,M
2022-05-31,HOUR16,39.72429,-105.69515,1.0,Rain,24.0,M
2022-05-31,HOUR18,39.72774,-105.17536,2.0,Rain,73.0,M
2022-06-01,HOUR15,39.73701,-104.40266,1.0,Clear,38.0,M
2022-06-01,HOUR21,39.72729,-104.26669,1.0,Clear,50.0,F
2022-06-03,HOUR1,39.71111,-106.71092,1.0,Clear,53.0,M
2022-06-03,HOUR13,39.74026,-104.71778,0.0,Clear,,
2022-06-03,HOUR13,39.7451,-105.47,2.0,Clear,,
2022-06-05,HOUR20,39.72022,-105.40591,1.0,Clear,29.0,F
2022-06-07,HOUR20,39.7397996,-105.1591683,1.0,Cloudy,20.0,M
2022-06-08,HOUR2,39.7397,-104.6535,1.0,Clear,,
2022-06-08,HOUR14,39.739503,-105.15871,2.0,Clear,35.0,M
2022-06-09,HOUR0,39.74574,-105.43765,1.0,Clear,30.0,M
2022-06-09,HOUR3,39.74526,-105.46955,1.0,Clear,23.0,F
2022-06-09,HOUR8,39.728311,-104.273074,1.0,Clear,71.0,M
2022-06-09,HOUR9,39.728311,-104.273074,2.0,Clear,16.0,F
2022-06-09,HOUR14,39.74093,-105.51586,2.0,Clear,67.0,M
2022-06-10,HOUR21,39.73815,-104.45888,1.0,Clear,20.0,F
2022-06-11,HOUR13,39.7402,-104.663214,1.0,Clear,32.0,M
2022-06-11,HOUR23,39.739931,-104.607227,2.0,Clear,21.0,M
2022-06-12,HOUR2,39.73848,-104.51269,2.0,Clear,27.0,M
2022-06-12,HOUR19,39.74565,-105.43871,2.0,Clear,29.0,M
2022-06-13,HOUR12,39.74104,-105.51532,1.0,Clear,54.0,M
2022-06-13,HOUR18,39.74055,-105.52115,2.0,Clear,52.0,M
2022-06-14,HOUR2,39.7381,-104.4828,2.0,Clear,20.0,M
2022-06-14,HOUR23,39.70805,-105.28144,1.0,Clear,26.0,F
2022-06-15,HOUR15,39.73915,-105.1592,2.0,Clear,23.0,F
2022-06-15,HOUR15,39.72854,-105.1739,6.0,Clear,60.0,M
2022-06-18,HOUR1,39.74565,-105.43923,1.0,Clear,,
2022-06-18,HOUR10,39.740803,-104.715601,1.0,Clear,32.0,M
2022-06-19,HOUR8,39.73945,-104.55603,1.0,Clear,29.0,F
2022-06-19,HOUR10,39.73963,-104.55391,2.0,Wind,,
2022-06-19,HOUR19,39.714325,-105.192405,2.0,Clear,24.0,F
2022-06-20,HOUR13,39.71086,-105.69725,2.0,Clear,37.0,F
2022-06-20,HOUR14,39.74001,-104.65467,2.0,Clear,,
2022-06-23,HOUR16,39.736912,-105.162803,2.0,Clear,55.0,M
