Date,Time,Vehicles,CONDITION,Latitude,Longitude,Driver Age,Driver Sex
2015-07-04,1301.0,2,DRY,39.74013,-104.716046,45,M
2015-07-04,1425.0,2,DRY,39.74635,-105.460842,38,M
2015-07-05,1343.0,2,WET,39.741474,-105.52298,64,M
2015-07-06,1825.0,1,WET,39.731258,-105.4267,22,M
2015-07-06,1830.0,1,WET,39.731258,-105.4267,27,M
2015-07-07,2140.0,1,DRY,39.738085,-104.421545,40,F
2015-07-08,600.0,1,WET,39.743289,-105.491531,19,F
2015-07-08,823.0,1,DRY,39.71269,-105.36629,73,M
2015-07-08,1400.0,2,WET,39.712381,-105.193904,0,
2015-07-08,1530.0,2,WET,39.744412,-105.488961,23,M
2015-07-08,1542.0,2,WET,39.749013,-105.149395,29,M
2015-07-08,1550.0,2,WET,39.739791,-105.159158,0,U
2015-07-08,1705.0,1,WET,39.739069,-105.431988,25,M
2015-07-08,2240.0,1,DRY,39.739718,-104.588825,35,M
2015-07-09,1457.0,2,DRY,39.743847,-105.48102,0,
2015-07-09,1641.0,2,WET,39.741713,-105.494888,46,F
2015-07-09,2343.0,1,WET,39.716075,-105.191061,57,M
2015-07-10,2120.0,1,WET,39.745627,-105.438458,47,M
2015-07-14,1622.0,3,DRY,39.717548,-105.189868,18,F
2015-07-14,1645.0,2,DRY,39.720853,-105.185972,41,M
2015-07-15,750.0,1,DRY,39.711525,-105.353338,69,F
2015-07-15,945.0,2,DRY,39.721171,-105.409726,0,
2015-07-15,1420.0,2,DRY,39.748256,-105.671171,39,M
2015-07-16,1153.0,2,DRY,39.736822,-105.162916,40,F
2015-07-16,2130.0,2,DRY,39.709008,-105.286147,0,
2015-07-17,1145.0,2,DRY,39.726676,-105.422064,45,M
2015-07-17,1205.0,2,DRY,39.726676,-105.422064,55,M
2015-07-17,1515.0,2,DRY,39.747832,-105.150303,28,M
2015-07-17,1730.0,2,DRY,39.744412,-105.488961,54,M
2015-07-18,1116.0,2,DRY,39.731258,-105.4267,75,M
2015-07-18,1600.0,2,WET,39.737692,-105.431195,42,M
2015-07-20,622.0,1,DRY,39.715674,-105.385188,53,M
2015-07-20,622.0,1,DRY,39.715436,-105.383612,69,M
2015-07-22,1025.0,2,DRY,39.721551,-105.41114,59,F
2015-07-23,500.0,2,DRY,39.716196,-105.397071,30,F
2015-07-23,2130.0,1,DRY,39.720223,-105.405908,66,F
2015-07-24,1500.0,1,DRY,39.740132,-104.711918,50,F
2015-07-24,1550.0,2,DRY,39.719753,-105.40399,28,M
2015-07-25,1425.0,2,DRY,39.721551,-105.41114,22,M
2015-07-25,1545.0,2,DRY,39.744356,-105.446985,30,M
2015-07-26,1215.0,2,DRY,39.730957,-105.170285,20,M
2015-07-26,1615.0,2,DRY,39.720529,-105.69575,25,F
2015-07-27,2258.0,1,DRY,39.710995,-105.31696,51,M
2015-07-30,1029.0,2,DRY,39.734671,-105.165609,65,M
2015-07-30,1730.0,2,DRY,39.713793,-105.192816,70,F
2015-07-30,2315.0,2,DRY,39.739251,-105.159842,0,
2015-07-31,1325.0,2,DRY,39.743847,-105.48102,58,F
2015-08-01,415.0,2,DRY,39.715392,-105.696536,29,M
2015-08-01,1631.0,2,DRY,39.742778,-105.433144,46,M
2015-08-02,1721.0,2,DRY,39.735403,-105.688537,37,F
2015-08-03,630.0,1,DRY,39.725183,-105.179311,28,F
2015-08-03,1245.0,2,DRY,39.714665,-105.380376,26,F
2015-08-04,1615.0,2,DRY,39.739403,-104.630789,22,M
2015-08-04,1615.0,2,DRY,39.739403,-104.630789,22,M
2015-08-05,1745.0,2,DRY,39.744124,-105.153748,48,M
2015-08-07,1353.0,2,DRY,39.719504,-105.403037,0,
2015-08-08,1508.0,2,DRY,39.721551,-105.41114,49,F
2015-08-08,1510.0,2,DRY,39.732638,-105.427347,69,F
2015-08-08,1710.0,1,WET,39.713422,-105.30771,34,M
2015-08-08,1835.0,1,DRY,39.712381,-105.193904,23,F
2015-08-10,730.0,2,DRY,39.740037,-104.682386,26,F
2015-08-10,1630.0,2,DRY,39.742704,-104.736734,63,M
2015-08-12,705.0,1,DRY,39.712484,-105.193829,44,M
