Date,Direction,Time,TRAFFIC,PRCP,SNOW,SNWD,SNOW_DAY_SUM,Vehicles,Driver Age,Condition_Code,MorF,DayOfWeek
20150120,0,14,909,0.01,0.6,,1.5000000000000009,1.0,27.0,1.0,2.0,2
20150124,1,8,728,0.0,0.0,,1.0000000000000009,1.0,43.0,1.0,2.0,6
20150124,0,8,3150,0.0,0.0,,1.0000000000000009,1.0,43.0,1.0,2.0,6
20150125,1,22,699,0.0,0.0,,1.0000000000000009,1.0,44.0,1.0,2.0,7
20150125,0,22,218,0.0,0.0,,1.0000000000000009,1.0,44.0,1.0,2.0,7
20150129,1,18,911,0.0,0.0,,0.1999999999999898,1.0,49.0,1.0,2.0,4
20150129,0,18,1169,0.0,0.0,,0.1999999999999898,1.0,49.0,1.0,2.0,4
20150208,1,20,2525,,,,,2.0,54.0,1.0,2.0,7
20150208,0,20,437,,,,,2.0,54.0,1.0,2.0,7
20150217,1,6,611,0.07,0.9,12.5,3.2000000000000006,1.0,35.0,1.0,2.0,2
20150217,0,6,583,0.07,0.9,12.5,3.2000000000000006,1.0,35.0,1.0,2.0,2
20150220,1,11,1317,0.0,0.0,,3.2000000000000006,2.0,20.0,1.0,2.0,5
20150220,0,11,1746,0.0,0.0,,3.2000000000000006,2.0,20.0,1.0,2.0,5
20150223,1,8,1129,0.09,1.0,14.5,6.300000000000001,2.0,21.0,1.0,2.0,1
20150223,0,8,1684,0.09,1.0,14.5,6.300000000000001,2.0,21.0,1.0,2.0,1
20150224,1,10,1170,0.0,0.0,,5.4,1.0,56.0,1.0,2.0,2
20150224,0,10,1327,0.0,0.0,,5.4,1.0,56.0,1.0,2.0,2
20150302,1,8,1348,0.21,3.0,18.0,9.9,2.0,61.0,1.0,2.0,1
20150302,0,8,1639,0.21,3.0,18.0,9.9,2.0,61.0,1.0,2.0,1
20150305,1,18,1159,0.0,0.0,,11.2,2.0,57.0,1.0,2.0,4
20150305,0,18,1271,0.0,0.0,,11.2,2.0,57.0,1.0,2.0,4
20150307,1,10,1675,0.0,0.0,,9.500000000000002,2.0,66.0,1.0,2.0,6
20150307,0,10,2989,0.0,0.0,,9.500000000000002,2.0,66.0,1.0,2.0,6
20150309,1,8,1048,0.0,0.0,,3.200000000000001,2.0,32.0,1.0,2.0,1
20150309,0,8,1813,0.0,0.0,,3.200000000000001,2.0,32.0,1.0,2.0,1
20150309,1,9,1272,0.0,0.0,,3.200000000000001,2.0,22.0,1.0,2.0,1
20150309,0,9,1595,0.0,0.0,,3.200000000000001,2.0,22.0,1.0,2.0,1
20150313,1,13,2258,0.06,0.7,27.0,0.6999999999999893,2.0,16.0,1.0,2.0,5
20150313,0,13,1820,0.06,0.7,27.0,0.6999999999999893,2.0,16.0,1.0,2.0,5
20150313,1,14,2531,0.06,0.7,27.0,0.6999999999999893,2.0,36.0,1.0,2.0,5
20150313,0,14,1825,0.06,0.7,27.0,0.6999999999999893,2.0,36.0,1.0,2.0,5
20150328,1,13,2600,0.0,0.0,,0.0,1.0,25.0,1.0,2.0,6
20150328,0,13,1750,0.0,0.0,,0.0,1.0,25.0,1.0,2.0,6
20150401,1,17,1484,0.0,0.0,,0.0,2.0,24.0,1.0,2.0,3
20150401,0,17,1159,0.0,0.0,,0.0,2.0,24.0,1.0,2.0,3
20150407,1,16,1468,0.0,0.0,,0.0,2.0,40.0,1.0,2.0,2
20150407,0,16,1029,0.0,0.0,,0.0,2.0,40.0,1.0,2.0,2
20150408,1,19,669,0.0,0.0,,0.0,1.0,26.0,1.0,2.0,3
20150408,0,19,699,0.0,0.0,,0.0,1.0,26.0,1.0,2.0,3
20150410,1,22,331,0.0,0.0,,0.5000000000000009,2.0,48.0,1.0,2.0,5
20150410,0,22,468,0.0,0.0,,0.5000000000000009,2.0,48.0,1.0,2.0,5
20150423,1,17,1139,0.0,0.0,,8.0,2.0,80.0,1.0,2.0,4
20150423,0,17,2836,0.0,0.0,,8.0,2.0,80.0,1.0,2.0,4
20150425,1,0,117,0.02,0.0,,5.499999999999989,2.0,57.0,1.0,2.0,6
20150425,0,0,172,0.02,0.0,,5.499999999999989,2.0,57.0,1.0,2.0,6
20150428,1,10,828,0.0,0.0,,8.8,1.0,29.0,1.0,2.0,2
20150428,0,10,1113,0.0,0.0,,8.8,1.0,29.0,1.0,2.0,2
20150430,1,16,1423,0.0,0.0,,1.900000000000001,2.0,54.0,1.0,2.0,4
20150430,0,16,1174,0.0,0.0,,1.900000000000001,2.0,54.0,1.0,2.0,4
20150527,1,16,1362,,,,,2.0,57.0,1.0,2.0,3
20150527,0,16,1190,,,,,2.0,57.0,1.0,2.0,3
20150529,1,4,111,,,,,1.0,62.0,1.0,2.0,5
20150529,0,4,171,,,,,1.0,62.0,1.0,2.0,5
20150602,1,2,56,0.0,0.0,,2.100000000000001,1.0,38.0,1.0,2.0,2
20150602,0,2,87,0.0,0.0,,2.100000000000001,1.0,38.0,1.0,2.0,2
20150603,1,17,1654,0.0,0.0,,1.8000000000000007,2.0,32.0,1.0,2.0,3
20150603,0,17,1000,0.0,0.0,,1.8000000000000007,2.0,32.0,1.0,2.0,3
20150608,1,12,1388,0.0,0.0,,0.4999999999999893,4.0,62.0,1.0,2.0,1
20150608,0,12,1347,0.0,0.0,,0.4999999999999893,4.0,62.0,1.0,2.0,1
20150609,1,16,1202,0.0,0.0,,0.4000000000000009,2.0,22.0,1.0,2.0,2
20150609,0,16,1106,0.0,0.0,,0.4000000000000009,2.0,22.0,1.0,2.0,2
20150617,1,14,1604,,,,,2.0,18.0,1.0,2.0,3
20150617,0,14,1640,,,,,2.0,18.0,1.0,2.0,3
20150627,1,13,2381,0.0,0.0,,0.0,2.0,32.0,1.0,2.0,6
20150627,0,13,2800,0.0,0.0,,0.0,2.0,32.0,1.0,2.0,6
20150628,1,2,115,0.0,0.0,,0.0,2.0,20.0,1.0,2.0,7
20150628,0,2,123,0.0,0.0,,0.0,2.0,20.0,1.0,2.0,7
20150702,1,16,1924,0.0,0.0,,0.0,2.0,26.0,1.0,2.0,4
20150702,0,16,3051,0.0,0.0,,0.0,2.0,26.0,1.0,2.0,4
20150707,1,21,505,,,,,1.0,40.0,1.0,2.0,2
20150707,0,21,481,,,,,1.0,40.0,1.0,2.0,2
20150714,1,16,1842,0.0,0.0,,0.0,3.0,18.0,1.0,2.0,2
20150714,0,16,1180,0.0,0.0,,0.0,3.0,18.0,1.0,2.0,2
20150715,1,7,771,0.0,0.0,,0.0,1.0,69.0,1.0,2.0,3
20150715,0,7,1065,0.0,0.0,,0.0,1.0,69.0,1.0,2.0,3
20150716,1,11,1541,,,,,2.0,40.0,1.0,2.0,4
20150716,0,11,2341,,,,,2.0,40.0,1.0,2.0,4
20150722,1,10,1540,,,,,2.0,59.0,1.0,2.0,3
20150722,0,10,1866,,,,,2.0,59.0,1.0,2.0,3
20150723,1,5,302,0.0,0.0,,0.0,2.0,30.0,1.0,2.0,4
20150723,0,5,550,0.0,0.0,,0.0,2.0,30.0,1.0,2.0,4
20150723,1,21,788,0.0,0.0,,0.0,1.0,66.0,1.0,2.0,4
20150723,0,21,732,0.0,0.0,,0.0,1.0,66.0,1.0,2.0,4
20150726,1,16,3167,0.0,0.0,,0.0,2.0,25.0,1.0,2.0,7
20150726,0,16,1657,0.0,0.0,,0.0,2.0,25.0,1.0,2.0,7
