Date,Time,Vehicles,CONDITION,Latitude,Longitude,Driver Age,Driver Sex
2017-05-25,HOUR1,1,DRY,39.740135,-104.715894,33,F
2017-05-26,HOUR15,1,DRY,39.710985,-106.707827,19,F
2017-05-28,HOUR11,2,DRY,39.743715,-105.445296,24,M
2017-05-29,HOUR20,2,DRY,39.740128,-104.718526,63,F
2017-05-30,HOUR17,2,DRY,39.726678,-105.422066,21,M
2017-05-31,HOUR0,1,WET,39.742593,-104.736523,26,M
2017-06-01,HOUR13,2,DRY,39.707926,-105.347319,39,M
2017-06-01,HOUR16,1,DRY,39.740321,-105.504953,39,M
2017-06-01,HOUR16,2,DRY,39.708499,-105.196871,26,M
2017-06-02,HOUR3,1,DRY,39.71569,-105.191362,61,M
2017-06-02,HOUR11,2,DRY,39.740135,-104.715894,62,M
2017-06-04,HOUR17,2,DRY,39.739801,-105.159144,21,M
2017-06-04,HOUR18,2,DRY,39.732641,-105.427348,42,M
2017-06-04,HOUR19,2,DRY,39.724684,-105.418762,24,F
2017-06-05,HOUR8,3,DRY,39.739801,-105.159144,60,M
2017-06-06,HOUR0,1,DRY,39.738068,-104.414539,31,M
2017-06-07,HOUR6,1,DRY,39.740676,-104.733128,36,F
2017-06-07,HOUR8,2,DRY,39.734373,-105.165983,49,M
2017-06-07,HOUR15,2,WET,39.740061,-104.689703,59,M
2017-06-08,HOUR20,2,DRY,39.711671,-104.210986,33,M
2017-06-08,HOUR20,1,DRY,39.718186,-105.400367,44,F
2017-06-10,HOUR17,1,DRY,39.736441,-105.430189,48,M
2017-06-11,HOUR3,1,DRY,39.710187,-105.295232,33,M
2017-06-11,HOUR16,2,DRY,39.72085,-105.185966,18,M
2017-06-11,HOUR18,1,DRY,39.715337,-105.393546,25,M
2017-06-12,HOUR22,1,DRY,39.741308,-105.513778,49,F
2017-06-15,HOUR17,2,DRY,39.740135,-104.715894,17,F
2017-06-16,HOUR14,1,DRY,39.740137,-104.715236,56,M
2017-06-16,HOUR21,2,DRY,39.730945,-105.170301,66,M
2017-06-17,HOUR17,2,DRY,39.731067,-105.169178,43,M
2017-06-18,HOUR18,2,DRY,39.720565,-105.186387,44,M
2017-06-19,HOUR9,2,DRY,39.710828,-106.709972,41,M
2017-06-19,HOUR10,2,DRY,39.748952,-105.149442,41,F
2017-06-20,HOUR3,1,DRY,39.738148,-104.447386,50,M
2017-06-20,HOUR7,1,DRY,39.718406,-105.4007,48,F
2017-06-20,HOUR12,2,DRY,39.744752,-105.537234,75,M
2017-06-21,HOUR18,2,DRY,39.741087,-104.733988,56,M
2017-06-22,HOUR20,1,WET,39.744354,-105.43495,22,M
2017-06-23,HOUR18,2,DRY,39.748676,-105.547626,50,M
2017-06-25,HOUR14,2,DRY,39.743855,-105.480957,32,M
2017-06-25,HOUR15,2,DRY,39.741215,-105.495956,22,M
2017-06-26,HOUR16,2,DRY,39.720755,-105.186106,23,M
2017-06-26,HOUR16,2,DRY,39.733897,-105.166582,51,M
2017-06-26,HOUR23,1,DRY,39.711757,-105.301279,27,M
2017-06-27,HOUR19,1,DRY,39.738406,-104.643247,23,F
2017-06-27,HOUR22,1,DRY,39.737431,-105.431007,46,F
2017-06-28,HOUR13,2,DRY,39.739801,-105.159144,24,M
2017-06-28,HOUR16,2,DRY,39.740176,-104.664077,46,F
2017-06-30,HOUR13,2,DRY,39.71234,-105.193936,21,F
2017-06-30,HOUR13,2,DRY,39.739801,-105.159144,17,M
2017-07-01,HOUR13,2,DRY,39.709824,-105.349603,34,M
2017-07-01,HOUR18,2,DRY,39.718186,-105.400367,46,F
2017-07-02,HOUR6,1,DRY,39.742593,-104.736523,32,M
2017-07-02,HOUR16,2,DRY,39.739801,-105.159144,23,M
2017-07-03,HOUR4,1,DRY,39.740022,-104.680544,32,M
2017-07-03,HOUR4,1,DRY,39.740022,-104.680544,32,F
2017-07-03,HOUR19,2,DRY,39.738094,-104.427967,33,M
2017-07-03,HOUR22,1,DRY,39.738115,-104.433458,21,M
2017-07-05,HOUR11,2,DRY,39.746641,-105.464847,0,
2017-07-08,HOUR7,1,DRY,39.721164,-105.40971,56,M
2017-07-08,HOUR8,1,DRY,39.709095,-105.3486,62,M
2017-07-08,HOUR11,2,DRY,39.721404,-105.410567,23,F
2017-07-08,HOUR14,2,DRY,39.739801,-105.159144,42,M
2017-07-09,HOUR0,2,DRY,39.740024,-104.626372,23,F
2017-07-10,HOUR0,1,DRY,39.720223,-105.405909,25,M
2017-07-10,HOUR5,2,DRY,39.712496,-105.304125,25,M
2017-07-12,HOUR17,2,DRY,39.725175,-105.179322,20,F
2017-07-13,HOUR15,4,DRY,39.741215,-105.495956,53,M
2017-07-13,HOUR20,1,DRY,39.714334,-104.217939,33,M
2017-07-13,HOUR22,1,DRY,39.742843,-105.683023,40,M
2017-07-15,HOUR14,2,DRY,39.737695,-105.431191,46,M
2017-07-16,HOUR14,2,DRY,39.725703,-105.420643,56,F
2017-07-17,HOUR1,1,DRY,39.716247,-105.190931,22,F
2017-07-17,HOUR10,1,DRY,39.711156,-105.194818,38,F
2017-07-18,HOUR5,1,DRY,39.721552,-105.411134,66,F
2017-07-19,HOUR22,1,DRY,39.708504,-105.282568,47,F
2017-07-20,HOUR16,2,DRY,39.732468,-105.168382,42,F
2017-07-22,HOUR6,1,DRY,39.724894,-105.179757,61,F
2017-07-22,HOUR19,2,DRY,39.739705,-105.159264,25,M
2017-07-23,HOUR12,2,DRY,39.743855,-105.480957,22,M
2017-07-24,HOUR6,2,DRY,39.717981,-105.189338,24,M
2017-07-24,HOUR12,2,DRY,39.744175,-105.442504,76,M
2017-07-25,HOUR11,2,DRY,39.744752,-105.537234,22,M
2017-07-26,HOUR13,1,DRY,39.744355,-105.44698,20,M
2017-07-26,HOUR20,1,WET,39.740122,-104.728546,43,M
2017-07-29,HOUR7,2,WET,39.712496,-105.304125,31,F
2017-07-29,HOUR11,2,WET,39.712071,-105.697065,82,F
2017-07-30,HOUR13,3,DRY,39.709494,-105.697829,57,M
2017-07-31,HOUR15,2,DRY,39.736584,-104.401361,43,M
2017-08-02,HOUR15,2,DRY,39.716815,-105.190482,23,M
2017-08-03,HOUR13,1,DRY,39.746602,-105.462679,51,M
2017-08-04,HOUR23,1,DRY,39.712034,-105.302346,28,M
2017-08-05,HOUR17,1,WET,39.716358,-105.190845,60,M
2017-08-06,HOUR1,1,DRY,39.720186,-105.186949,20,M
2017-08-07,HOUR6,1,DRY,39.746291,-105.460542,37,M
2017-08-07,HOUR8,2,DRY,39.743543,-105.532325,48,M
2017-08-07,HOUR14,1,WET,39.740321,-105.504953,18,M
2017-08-07,HOUR15,2,DRY,39.739801,-105.159144,55,M
2017-08-09,HOUR11,2,WET,39.734373,-105.165983,51,M
2017-08-09,HOUR17,2,DRY,39.730945,-105.170301,42,M
2017-08-10,HOUR5,1,DRY,39.733672,-104.317934,25,F
2017-08-10,HOUR16,1,WET,39.730564,-105.170781,65,M
2017-08-10,HOUR17,2,DRY,39.717907,-105.189544,31,M
2017-08-10,HOUR18,2,DRY,39.749919,-105.667004,0,M
2017-08-11,HOUR14,2,DRY,39.72047,-105.186528,45,M
2017-08-11,HOUR19,2,DRY,39.744207,-105.441796,21,M
2017-08-12,HOUR23,1,DRY,39.738113,-104.43253,27,F
2017-08-15,HOUR8,3,DRY,39.738222,-104.482113,33,F
2017-08-15,HOUR14,1,WET,39.715491,-105.389631,21,M
2017-08-16,HOUR9,2,DRY,39.736549,-105.687407,54,M
2017-08-19,HOUR21,2,DRY,39.718021,-105.18943,87,F
2017-08-20,HOUR1,1,DRY,39.739801,-105.159144,45,F
2017-08-20,HOUR8,1,DRY,39.716247,-105.190931,56,M
2017-08-20,HOUR17,2,DRY,39.723954,-105.181205,32,M
2017-08-22,HOUR11,1,DRY,39.717425,-105.189965,33,M
2017-08-23,HOUR18,1,WET,39.715408,-105.696539,21,F
2017-08-28,HOUR8,2,DRY,39.71234,-105.193936,41,M
2017-08-28,HOUR16,2,DRY,39.718364,-105.189087,58,M
