Date,Time,Vehicles,Driver Age,Condition_Code,MorF
2014-10-01,5,1,52,0,0
2014-10-01,15,2,20,0,0
2014-10-02,15,1,73,0,0
2014-10-02,17,2,33,0,0
2014-10-04,11,1,36,0,1
2014-10-04,12,2,18,0,1
2014-10-04,20,2,67,0,0
2014-10-05,2,1,17,0,0
2014-10-05,2,1,65,0,0
2014-10-05,14,2,17,0,0
2014-10-07,8,2,22,0,1
2014-10-08,9,2,22,0,1
2014-10-09,13,1,19,3,1
2014-10-09,16,1,60,3,0
2014-10-09,18,1,24,3,1
2014-10-09,18,2,16,3,0
2014-10-10,15,1,24,0,0
2014-10-11,0,1,41,0,0
2014-10-13,12,2,34,0,0
2014-10-16,12,2,41,0,1
2014-10-17,5,1,29,0,0
2014-10-17,12,2,30,0,0
2014-10-17,13,1,65,0,1
2014-10-17,14,1,27,0,0
2014-10-17,19,1,39,0,0
2014-10-18,14,2,28,0,1
2014-10-20,18,2,18,0,1
2014-10-22,15,1,36,0,1
2014-10-22,15,1,59,0,0
2014-10-23,10,2,41,0,0
2014-10-23,15,1,35,0,0
2014-10-23,18,1,66,0,1
2014-10-23,19,2,32,0,0
2014-10-23,21,1,18,0,0
2014-10-24,7,2,51,0,0
2014-10-26,6,1,49,0,0
2014-10-28,8,1,67,0,1
2014-10-30,17,3,19,0,0
2014-10-31,6,2,23,0,0
2014-10-31,18,1,47,0,0
2014-11-01,3,1,19,0,0
2014-11-01,19,1,23,0,1
2014-11-03,5,1,47,6,0
2014-11-04,7,2,33,3,1
2014-11-06,14,2,19,0,0
2014-11-06,23,1,24,0,1
2014-11-10,13,2,37,3,0
2014-11-10,14,2,26,3,1
2014-11-10,14,2,37,3,1
2014-11-10,15,1,29,3,0
2014-11-10,15,2,45,3,1
2014-11-10,15,2,31,3,0
2014-11-10,21,1,30,3,0
2014-11-11,15,2,26,6,0
2014-11-11,19,1,49,6,0
2014-11-12,7,1,32,3,0
2014-11-12,10,1,28,3,0
2014-11-12,11,1,42,3,0
2014-11-12,11,1,27,3,1
2014-11-12,12,1,63,6,0
2014-11-12,13,1,31,3,0
2014-11-12,13,1,23,3,0
2014-11-12,17,1,52,6,1
2014-11-12,21,1,27,6,0
2014-11-13,4,1,38,3,0
2014-11-13,11,2,24,3,1
2014-11-13,17,1,30,3,1
2014-11-14,7,1,29,5,0
2014-11-14,18,1,23,0,0
2014-11-14,22,1,27,0,1
2014-11-15,12,1,40,3,0
2014-11-17,6,2,23,3,1
2014-11-17,17,1,26,0,1
2014-11-17,18,2,19,0,1
2014-11-17,22,1,51,0,0
2014-11-19,9,2,47,0,0
2014-11-19,10,2,51,0,0
2014-11-20,6,2,30,0,0
2014-11-20,15,2,66,0,0
2014-11-21,1,2,29,0,0
2014-11-21,17,2,23,0,0
2014-11-21,18,3,18,0,0
2014-11-24,10,2,48,0,0
2014-11-24,17,1,31,3,0
2014-11-25,9,2,67,0,1
2014-11-25,13,2,30,0,1
2014-11-25,20,1,29,0,0
2014-11-26,2,1,22,3,1
2014-11-26,10,2,26,0,0
2014-11-26,13,2,33,0,0
2014-11-26,14,4,27,0,1
2014-11-26,15,2,30,0,0
2014-11-28,1,2,17,0,1
2014-11-28,18,1,44,0,0
2014-11-29,18,2,62,0,0
2014-11-30,12,3,47,0,0
2014-11-30,15,1,31,3,1
2014-12-02,11,1,26,0,0
2014-12-03,15,2,38,0,1
2014-12-06,7,2,57,0,0
2014-12-06,17,2,60,0,0
2014-12-06,17,2,25,0,1
2014-12-06,21,2,56,0,0
2014-12-09,7,2,40,0,0
2014-12-09,17,2,82,0,0
2014-12-10,9,2,49,0,1
2014-12-11,12,2,54,0,1
2014-12-11,19,2,60,0,0
2014-12-12,6,1,59,0,0
2014-12-12,12,2,16,3,0
2014-12-12,17,2,53,0,0
2014-12-14,9,1,22,5,1
2014-12-14,10,2,22,6,1
