DATE,Direction,HOUR,TRAFFIC
2014-01-10,S,12,1209
2014-01-10,P,13,1718
2014-01-10,S,13,1377
2014-01-10,P,14,1630
2014-01-10,S,14,1604
2014-01-10,P,15,1797
2014-01-10,S,15,1866
2014-01-10,P,16,1787
2014-01-10,S,16,2702
2014-01-10,P,17,1659
2014-01-10,S,17,2642
2014-01-10,P,18,1270
2014-01-10,S,18,2567
2014-01-10,P,19,963
2014-01-10,S,19,2238
2014-01-10,P,20,659
2014-01-10,S,20,1524
2014-01-10,P,21,446
2014-01-10,S,21,880
2014-01-10,P,22,230
2014-01-10,S,22,583
2014-01-10,P,23,159
2014-01-10,S,23,293
2014-01-11,P,0,101
2014-01-11,S,0,175
2014-01-11,P,1,94
2014-01-11,S,1,108
2014-01-11,P,2,50
2014-01-11,S,2,70
2014-01-11,P,3,55
2014-01-11,S,3,82
2014-01-11,P,4,71
2014-01-11,S,4,128
2014-01-11,P,5,126
2014-01-11,S,5,528
2014-01-11,P,6,292
2014-01-11,S,6,3085
2014-01-11,P,7,475
2014-01-11,S,7,3465
2014-01-11,P,8,792
2014-01-11,S,8,3256
2014-01-11,P,9,1043
2014-01-11,S,9,2754
2014-01-11,P,10,1355
2014-01-11,S,10,2872
2014-01-11,P,11,1727
2014-01-11,S,11,1993
2014-01-11,P,12,1889
2014-01-11,S,12,1545
2014-01-11,P,13,2241
2014-01-11,S,13,1561
2014-01-11,P,14,2730
2014-01-11,S,14,1447
2014-01-11,P,15,3214
2014-01-11,S,15,1361
2014-01-11,P,16,3362
2014-01-11,S,16,1176
2014-01-11,P,17,3197
2014-01-11,S,17,1022
2014-01-11,P,18,3070
2014-01-11,S,18,837
2014-01-11,P,19,2090
2014-01-11,S,19,706
2014-01-11,P,20,1171
2014-01-11,S,20,488
2014-01-11,P,21,688
2014-01-11,S,21,363
2014-01-11,P,22,420
2014-01-11,S,22,311
2014-01-11,P,23,233
2014-01-11,S,23,196
2014-01-12,P,0,125
2014-01-12,S,0,135
2014-01-12,P,1,88
2014-01-12,S,1,77
2014-01-12,P,2,69
2014-01-12,S,2,71
2014-01-12,P,3,59
2014-01-12,S,3,52
2014-01-12,P,4,83
2014-01-12,S,4,80
2014-01-12,P,5,146
2014-01-12,S,5,211
2014-01-12,P,6,279
2014-01-12,S,6,1611
2014-01-12,P,7,564
2014-01-12,S,7,2343
2014-01-12,P,8,946
2014-01-12,S,8,1476
2014-01-12,P,9,1438
2014-01-12,S,9,1211
2014-01-12,P,10,2606
2014-01-12,S,10,1039
2014-01-12,P,11,2411
2014-01-12,S,11,943
2014-01-12,P,12,1940
2014-01-12,S,12,830
2014-01-12,P,13,2315
2014-01-12,S,13,802
2014-01-12,P,14,2135
2014-01-12,S,14,693
2014-01-12,P,15,2210
2014-01-12,S,15,619
2014-01-12,P,16,1908
2014-01-12,S,16,544
2014-01-12,P,17,1991
2014-01-12,S,17,462
2014-01-12,P,18,1772
2014-01-12,S,18,650
2014-01-12,P,19,1869
2014-01-12,S,19,736
2014-01-12,P,20,1666
2014-01-12,S,20,474
2014-01-12,P,21,1122
2014-01-12,S,21,272
2014-01-12,P,22,411
2014-01-12,S,22,203
2014-01-12,P,23,130
2014-01-12,S,23,123
2014-01-13,P,0,89
2014-01-13,S,0,109
2014-01-13,P,1,46
2014-01-13,S,1,89
2014-01-13,P,2,41
2014-01-13,S,2,58
2014-01-13,P,3,67
2014-01-13,S,3,86
2014-01-13,P,4,105
2014-01-13,S,4,168
2014-01-13,P,5,298
2014-01-13,S,5,326
2014-01-13,P,6,736
2014-01-13,S,6,702
2014-01-13,P,7,874
2014-01-13,S,7,1464
2014-01-13,P,8,961
2014-01-13,S,8,1606
2014-01-13,P,9,1381
2014-01-13,S,9,1431
