System Code,Rd_Number,Rd_Section,Crash Date,Crash Time,Latitude,Longitude,Crash Type,Total Vehicles,Weather Condition,TU-1 Age,TU-1 Sex 
Interstate Highway,070A,253,5/13/2022,12:40:00,39.71331,-105.31429,Sideswipe Same Direction,2.0,Clear,22.0,M
Interstate Highway,070A,261,5/13/2022,15:19:00,39.72383,-105.18134,Sideswipe Same Direction,2.0,Clear,54.0,M
Interstate Highway,070A,245.000,5/14/2022,21:40:00,39.73775,-105.43107,Wild Animal,1.0,Clear,44.0,M
Interstate Highway,070A,262,5/15/2022,16:30:00,39.72887,-105.17332,Sideswipe Same Direction,2.0,Clear,,
Interstate Highway,070A,288.550,5/15/2022,21:50:00,39.74003,-104.72614,Guardrail Face,1.0,Clear,49.0,F
Interstate Highway,070A,249.22,5/17/2022,10:44:00,39.71233,-105.36403,Overturning/Rollover,1.0,Clear,73.0,M
Interstate Highway,070A,300,5/17/2022,17:10:00,39.73672,-104.39928,Overturning/Rollover,2.0,Clear,35.0,M
Interstate Highway,070A,262,5/18/2022,17:30:00,39.7316,-105.16994,Sideswipe Same Direction,2.0,Clear,55.0,M
Interstate Highway,070A,242.54,5/19/2022,08:40:00,39.74496,-105.46946,Concrete Highway Barrier,1.0,Clear,24.0,M
Interstate Highway,070A,290.32,5/20/2022,04:50:00,39.74006,-104.69326,Sideswipe Same Direction,3.0,Rain,,
Interstate Highway,070A,245.250,5/20/2022,10:47:00,39.73463,-105.42859,Guardrail Face,2.0,Snow,25.0,M
Interstate Highway,070A,304.36,5/20/2022,12:01:00,39.7385,-104.43375,Approach Turn,2.0,Rain,60.0,M
Interstate Highway,070A,309.00,5/20/2022,14:48:00,39.733881,-104.348119,Rear-End,2.0,Rain,66.0,M
Interstate Highway,070A,296.23,5/21/2022,00:10:00,39.7397722,-104.5846111,Guardrail Face,1.0,Snow,23.0,M
Interstate Highway,070A,259.57,5/22/2022,01:43:00,39.709437,-105.196149,Sign,1.0,Clear,31.0,F
Interstate Highway,070A,240.00,5/22/2022,03:32:00,39.74101,-105.51585,Concrete Highway Barrier,1.0,Clear,38.0,M
Interstate Highway,070A,304.36,5/22/2022,13:45:00,39.73759,-104.43337,Broadside,2.0,Clear,39.0,F
Interstate Highway,070A,306.81,5/22/2022,16:12:00,39.73467,-104.38779,Overturning/Rollover,1.0,Clear,36.0,M
Interstate Highway,070A,299,5/23/2022,17:00:00,39.7386,-104.52529,Parked Motor Vehicle,2.0,Clear,,U
Interstate Highway,070A,244.19,5/24/2022,18:20:00,39.74512,-105.44045,Rear-End,2.0,Snow,21.0,M
Interstate Highway,070A,244.000,5/25/2022,18:45:00,39.7438,-105.44347,Guardrail Face,1.0,Clear,24.0,M
Interstate Highway,070A,289.05,5/26/2022,12:24:00,39.7402,-104.71837,Sideswipe Same Direction,3.0,Clear,27.0,M
Interstate Highway,070A,245.56,5/27/2022,11:12:00,39.73041,-105.42618,Rear-End,2.0,Clear,29.0,M
Interstate Highway,070A,248,5/27/2022,17:35:00,39.71544,-105.38368,Other Non-Collision,1.0,Clear,28.0,M
Interstate Highway,070A,254.50,5/27/2022,18:50:00,39.71146,-105.30045,Vehicle Debris or Cargo,1.0,Cloudy,,
Interstate Highway,070A,228.000,5/28/2022,02:25:00,39.71823,-105.69629,Concrete Highway Barrier,1.0,Clear,20.0,M
Interstate Highway,070A,292.93,5/28/2022,14:26:00,39.73909,-104.64625,Sideswipe Same Direction,2.0,Clear,,
Interstate Highway,070A,244.12,5/31/2022,11:40:00,39.74449,-105.44148,Sideswipe Same Direction,2.0,Cloudy,34.0,M
Interstate Highway,070A,288.50,5/31/2022,16:38:00,39.72429,-105.69515,Large Rocks or Boulder,1.0,Rain,24.0,M
Interstate Highway,070A,261,5/31/2022,18:08:00,39.72774,-105.17536,Sideswipe Same Direction,2.0,Rain,73.0,M
Interstate Highway,070A,306.000,6/1/2022,15:20:00,39.73701,-104.40266,Wild Animal,1.0,Clear,38.0,M
Interstate Highway,070A,314.010,6/1/2022,21:01:00,39.72729,-104.26669,Wild Animal,1.0,Clear,50.0,F
Interstate Highway,070A,154.000,6/3/2022,01:44:00,39.71111,-106.71092,Guardrail Face,1.0,Clear,53.0,M
Interstate Highway,070A,289,6/3/2022,13:00:00,39.74026,-104.71778,Sideswipe Same Direction,0.0,Clear,,
Interstate Highway,070A,242.00,6/3/2022,13:15:00,39.7451,-105.47,Sideswipe Same Direction,2.0,Clear,,
Interstate Highway,070A,246.800,6/5/2022,20:30:00,39.72022,-105.40591,Wild Animal,1.0,Clear,29.0,F
Interstate Highway,070A,262.571,6/7/2022,20:13:00,39.7397996,-105.1591683,Sign,1.0,Cloudy,20.0,M
Interstate Highway,070A,292.550,6/8/2022,02:33:00,39.7397,-104.6535,Other Fixed Object (Describe in Narrative),1.0,Clear,,
Interstate Highway,070A,262.57,6/8/2022,14:43:00,39.739503,-105.15871,Rear-End,2.0,Clear,35.0,M
Interstate Highway,070A,244.300,6/9/2022,00:45:00,39.74574,-105.43765,Guardrail Face,1.0,Clear,30.0,M
Interstate Highway,070A,242.50,6/9/2022,03:43:00,39.74526,-105.46955,Guardrail Face,1.0,Clear,23.0,F
Interstate Highway,070A,313.0,6/9/2022,08:45:00,39.728311,-104.273074,Overturning/Rollover,1.0,Clear,71.0,M
