SYSTEM,RTE,SEC,MP,DATE,TIME,SEVERITY,LOCATION,ROAD_DESC,VEHICLES,CONTOUR,CONDITION,LIGHTING,LATITUDE,LONGITUDE,AGE_1,SEX_1,DRIVER_1
INTERSTATE,70,A,260.0,3/1/2017,1215.0,INJ,ON,NON-INTERSECTION,2,CURVE ON-GRADE,DRY,DAYLIGHT,39.714575,-105.192224,23,F,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,254.0,3/2/2017,2005.0,PDO,OFF LEFT,NON-INTERSECTION,1,STRAIGHT ON-GRADE,DRY,DARK-LIGHTED,39.709013,-105.286143,49,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,242.5,3/3/2017,430.0,INJ,OFF RIGHT,NON-INTERSECTION,1,CURVE ON-GRADE,WET,DAYLIGHT,39.745222,-105.47048,26,F,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,242.89,3/3/2017,710.0,PDO,OFF LEFT,NON-INTERSECTION,1,CURVE ON-LEVEL,DRY W/VIS ICY ROAD TREATMENT,DAYLIGHT,39.746631,-105.462909,28,F,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,296.7,3/5/2017,1335.0,INJ,OFF RIGHT,NON-INTERSECTION,1,STRAIGHT ON-LEVEL,DRY,DAYLIGHT,39.739554,-104.576008,18,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,263.1,3/7/2017,0.0,PDO,OFF LEFT,NON-INTERSECTION,1,CURVE ON-LEVEL,DRY,DARK-UNLIGHTED,39.745282,-105.152453,26,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,254.09,3/9/2017,636.0,PDO,ON,NON-INTERSECTION,2,CURVE ON-GRADE,DRY,DAYLIGHT,39.708918,-105.284498,37,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,228.57,3/9/2017,1150.0,INJ,ON,NON-INTERSECTION,2,STRAIGHT ON-GRADE,DRY,DAYLIGHT,39.725078,-105.694518,40,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,316.5,3/10/2017,1328.0,PDO,OFF RIGHT,NON-INTERSECTION,1,STRAIGHT ON-LEVEL,DRY,DAYLIGHT,39.712339,-104.212729,22,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,260.13,3/10/2017,2032.0,PDO,OFF LEFT,RAMP,1,CURVE ON-GRADE,DRY,DARK-UNLIGHTED,39.716024,-105.191104,33,M,NO IMPAIRMENT SUSPECTED
